company_name,city,segment,address,rating,review_count,types,mode,priority,pain_hypothesis,notes
GAFA AUTO Bratislava,Bratislava,autodiely,"Stará Prievozská 1349/2, 821 09 Bratislava, Slovakia",4.8,646,"auto_parts_store|market|car_repair|point_of_interest|store|service|establishment",mixed,A,"High inbound support around part compatibility, availability, and order questions.",Strong local presence; likely meaningful support volume.
AZ-Autodiely s.r.o.,Bratislava,autodiely,"Cyprichova 2475/12, 831 54 Bratislava-Rača, Slovakia",4.7,69,"auto_parts_store|car_repair|point_of_interest|store|service|establishment",phone-heavy,A,"Phone load likely driven by compatibility checks and quick availability questions.",Smaller local operator; good closability.
AUTOBENEX - Auto Parts Bratislava,Bratislava,autodiely,"Nová Rožňavská 5, 831 04 Bratislava-Nové Mesto, Slovakia",4.8,17,"auto_parts_store|car_repair|point_of_interest|store|service|establishment",phone-heavy,A,"Small-team support likely depends on humans answering calls and handling edge-case part requests.",Low review count but strong fit for owner-led outreach.
MADPARTS,Bratislava,autodiely,"Račianska 2397/100, 831 54 Bratislava, Slovakia",4.7,146,"auto_parts_store|car_repair|point_of_interest|store|service|establishment",mixed,A,"Likely repetitive support across fitment, delivery timing, and returns.",Enough scale for pain without being obviously enterprise.
Q-PARTS - AMSA s.r.o.,Bratislava,autodiely,"Kopčianska 20, 851 01 Bratislava-Petržalka, Slovakia",4.6,183,"auto_parts_store|car_repair|building_materials_store|point_of_interest|wholesaler|store|service|establishment",mixed,A,"Broader assortment likely creates more support tickets and phone questions.",Candidate for mixed phone/email support.
Autorelax s.r.o.,Bratislava,auto-prislusenstvo,"39, Račianska 1511, 831 02 Bratislava-Nové Mesto, Slovakia",4.7,228,"auto_parts_store|car_repair|point_of_interest|store|service|establishment",mixed,B,"Support likely includes accessory fit, stock checks, and post-purchase questions.",Useful broader auto retail candidate.
AutoSave,Košice,autodiely,"Študentská 274/1, 040 01 Košice-Sever, Slovakia",4.7,109,"auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,A,"Likely strong phone dependence for fitment and urgent order checks.",Regional local player.
AUTODIELY SLOVAKIA TEAM,Košice,autodiely,"Južná trieda 48, 040 01 Juh, Slovakia",4.6,43,"auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,A,"Manual support likely concentrated in a small team handling compatibility and stock queries.",Good closability.
1autodiely.sk/1olej.sk,Košice,autodiely,"Južná trieda 66/1, 040 01 Košice, Slovakia",4.4,227,"auto_parts_store|car_repair|service|point_of_interest|store|establishment",mixed,A,"E-shop style operation likely faces repeated pre-purchase and order-status questions.",Strong enrichment candidate.
Skoda Car Parts Kosice - GKM PLUS,Košice,autodiely,"Južná trieda 1597/74, 040 01 Košice, Slovakia",4.6,62,"auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,B,"Brand-specific parts increase compatibility questions and manual assistance needs.",Narrower but high-intent support use case.
Ivan Mati - AUTODIELY MG Žilina,Žilina,autodiely,"Bratislavská 533, 010 01 Žilina, Slovakia",4.9,73,"auto_parts_store|car_repair|store|point_of_interest|service|establishment",phone-heavy,A,"Likely owner-led support around part fit and urgent availability.",Strong local fit.
G + K AUTODIELY,Žilina,autodiely,"2, Bánovská cesta 2836, 010 01 Žilina, Slovakia",4.9,24,"auto_parts_store|car_repair|store|point_of_interest|service|establishment",phone-heavy,A,"Small local operator likely relies on direct phone support for most edge cases.",Very closable.
G+K AUTOSÚČIASTKY - Rudolf Glasnák,Žilina,autodiely,"Bánovská cesta 3648, 01001 Žilina, 010 01 Žilina, Slovakia",4.7,195,"auto_parts_store|car_repair|store|point_of_interest|service|establishment",mixed,B,"Higher volume local shop likely has repetitive support load across orders and fitment.",Still local enough to test.
Autodiely EXZAS ŽILINA,Žilina,autodiely,"Štrková 967, 010 01 Žilina, Slovakia",4.8,21,"auto_parts_store|car_repair|store|point_of_interest|service|establishment",phone-heavy,A,"Likely small-team phone-heavy support.",Good micro-candidate.
DoplnkyDoAuta.sk (Panacea),Žilina,auto-prislusenstvo,"Prielohy 693/3, Solinky, 010 07 Žilina, Slovakia",4.4,105,"auto_parts_store|car_repair|wholesaler|store|point_of_interest|manufacturer|service|establishment",mixed,B,"Accessory fit and product-choice questions likely create support load.",More e-commerce-flavored candidate.
Car parts Vika,Nitra,autodiely,"Kmeťkova 13, Staré Mesto, 949 01 Nitra, Slovakia",4.7,75,"auto_parts_store|car_repair|service|store|point_of_interest|establishment",phone-heavy,A,"Likely direct phone handling of compatibility and stock queries.",Local and closable.
AUTO-DIELY-ŠPECIÁL,Nitra,autodiely,"Šípová 11, Chrenová, 949 01 Nitra, Slovakia",5.0,82,"auto_parts_store|car_repair|service|store|point_of_interest|establishment",phone-heavy,A,"Small operator likely experiences support interruptions from frequent customer questions.",Very strong fit.
FIFO Auto Ltd.,Nitra,autodiely,"Šípová 2, Chrenová, 949 01 Nitra, Slovakia",4.4,62,"auto_parts_store|car_repair|service|store|point_of_interest|establishment",phone-heavy,B,"Likely relies on people answering calls for product and order support.",Good local candidate.
AUTOPOTREBY - CHMELÁR,Nitra,auto-prislusenstvo,"13, Bratislavská 2656, 949 01 Nitra, Slovakia",4.5,51,"auto_parts_store|car_repair|service|store|point_of_interest|establishment",mixed,B,"Accessory and parts support likely split between phone and in-person queries.",Smaller support-heavy profile.
Autobenex Nitra,Nitra,autodiely,"Cabajská 3, 949 01 Nitra, Slovakia",4.7,32,"auto_parts_store|car_repair|service|store|point_of_interest|establishment",phone-heavy,A,"Small review footprint suggests a smaller team where missed calls matter more.",High closability.
Autodiely DODO,Trnava,autodiely,"Trstínska cesta 9, 917 01 Trnava, Slovakia",4.8,22,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",phone-heavy,A,"Likely highly manual support operation.",Good small-firm candidate.
Norbert Rašlík - Autosúčiastky,Trnava,autodiely,"Jerichova 917 01, 917 01 Trnava, Slovakia",4.7,58,"car_rental|store|service|point_of_interest|establishment",phone-heavy,B,"Likely local operator with direct customer handling and little automation.",Worth enrichment.
AUTOPOTREBY - CHMELÁR,Trnava,auto-prislusenstvo,"5, Nitrianska 5505, 917 54 Trnava, Slovakia",4.5,42,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",mixed,B,"Likely repetitive support around fit, stock, and pick-up.",Regional candidate.
G+K Autodiely,Trenčín,autodiely,"Zlatovská 1279, Zlatovce, 911 05 Trenčín, Slovakia",4.8,43,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",phone-heavy,A,"Smaller local shop likely depends on direct call handling.",Strong fit.
AUTOBIZNIS.sk,Trenčín,autodiely,"Kukučínova 467/3, 911 01 Trenčín, Slovakia",4.7,93,"store|point_of_interest|establishment",mixed,A,"E-shop-like positioning suggests repeated support around orders and product selection.",High-interest enrichment target.
AUTODIELYBB,Banská Bystrica,autodiely,"Kremnička 79, 974 05 Banská Bystrica, Slovakia",4.5,20,"auto_parts_store|market|supplier|car_repair|manufacturer|store|point_of_interest|service|establishment",phone-heavy,A,"Likely small team and high dependence on direct support.",Good small local candidate.
AUTO FRESH s.r.o.,Banská Bystrica,autodiely-pneu,"13, Zvolenská cesta 3741, 974 05 Banská Bystrica, Slovakia",4.6,96,"auto_parts_store|tire_shop|building_materials_store|car_repair|store|point_of_interest|service|establishment",mixed,A,"Hybrid parts+pneu model likely sees strong phone and seasonal support load.",Very practical use case.
Petro et al. car parts,Prešov,autodiely,"36, Pavlovičovo námestie 7442, 080 01 Prešov, Slovakia",4.6,138,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",phone-heavy,A,"Likely repeated fitment and availability questions.",Strong regional candidate.
AutoSave, Ltd.,Prešov,autodiely,"Budovateľská 75/a, 080 01 Prešov, Slovakia",4.5,63,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",phone-heavy,B,"Likely manual handling of pre-purchase and order support.",Closability looks good.
Autosúčiastky Tomáš,Prešov,autodiely,"Októbrová 4730, 080 01 Prešov, Slovakia",4.8,49,"auto_parts_store|car_repair|store|service|point_of_interest|establishment",phone-heavy,A,"Small local team likely loses time to repetitive support calls.",Very good candidate.
AZ-pneu.sk,Bratislava,pneu,"Polianky 17, 841 01 Bratislava-Dúbravka, Slovakia",4.4,581,"tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,A,"Strong seasonal phone load around sizes, availability, fitting, and appointment questions.",Best pneu test candidate.
Pneufol,Bratislava,pneuservis,"Polianky 3091/15, 841 02 Bratislava, Slovakia",4.8,81,"car_repair|service|point_of_interest|establishment",phone-heavy,A,"Likely heavy call volume in seasonal peaks and urgent service questions.",Good smaller pneu operator.
PNEUSYSTEM TT s.r.o.,Trnava,pneu,"917 01, Bratislavská 5234/45, 917 02 Trnava, Slovakia",4.8,100,"tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,A,"Phone-heavy support likely tied to tire choice, timing, and stock.",Strong regional pneu candidate.
EUROpneuCENTRUM,Trenčín,pneuservis,"Legionárska 1848/85, Biskupice, 911 01 Trenčín, Slovakia",4.7,59,"car_repair|service|point_of_interest|establishment",phone-heavy,B,"Likely local seasonal support burden.",Useful wave-2 pneu candidate.
ARS - PNEUSERVIS, AUTOSERVIS, Banská Bystrica,pneuservis,"Medený Hámor 4, 974 01 Banská Bystrica, Slovakia",4.6,328,"tire_shop|chauffeur_service|auto_parts_store|transportation_service|car_repair|store|service|point_of_interest|establishment",phone-heavy,B,"Likely very high service coordination and appointment-related call load.",Bigger but still usable.
Tire - Biada,Prešov,pneu,"Jána Bottu 5014/3, 080 01 Prešov, Slovakia",4.7,327,"tire_shop|auto_parts_store|car_repair|service|point_of_interest|store|establishment",phone-heavy,B,"High seasonal inbound likely around pneus and fitting.",Strong pneu backup candidate.
