lead_id,company_name,website,segment,city,contact_email,contact_phone,contact_page_url,faq_url,reklamacie_url,support_channel_count,chat_signal,platform_guess,personalization_hook,pain_hypothesis,primary_pain_angle,priority_score,demo_mapping,source_row_ref
AZAUTODIELYSRO,AZ-Autodiely s.r.o.,http://www.az-autodiely.sk/,autodiely,Bratislava,obchod@az-autodiely.sk,03611296093,https://az-autodiely.sk/#contact,,https://az-autodiely.sk/wp-content/uploads/2021/11/AZ-Autodiely-RP-2021.pdf,3,no,woocommerce,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",PDF/formulárový friction,returns_friction,6,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-2
MADPARTS,MADPARTS,https://madparts.eu/,autodiely,Bratislava,info@madparts.eu,+421903566139,https://www.madparts.eu/kontakty,,https://www.madparts.eu/reklamacny-formular,3,no,,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.","PDF/formulárový friction, emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru",returns_friction,5,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-3
1AUTODIELYSK1OLEJSK,1autodiely.sk/1olej.sk,http://1autodiely.sk/,autodiely,Košice,,,,,,0,no,,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,compatibility_load,3,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-4
IVANMATIAUTODIELYMGŽILIN,Ivan Mati - AUTODIELY MG Žilina,http://framdiely.sk/,autodiely,Žilina,framautodiely@gmail.com,02998747676,https://www.framdiely.sk/kontakt/,,,3,no,woocommerce,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,compatibility_load,6,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-5
AUTODIELYŠPECIÁL,AUTO-DIELY-ŠPECIÁL,http://www.dielynitra.sk/,autodiely,Nitra,,0903720353,https://www.dielynitra.sk/kontakt,,https://www.dielynitra.sk/zarucne-podmienky-a-reklamacny-poriadok,2,no,,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,compatibility_load,4,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-6
AUTOBIZNISSK,AUTOBIZNIS.sk,http://www.autobiznis.sk/,autodiely,Trenčín,info@autobiznis.sk,0205122433,https://autobiz.flox.sk/info,,,3,no,,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,compatibility_load,5,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-7
AUTODIELYBB,AUTODIELYBB,http://www.autodielybb.sk/,autodiely,Banská Bystrica,info@autodielybb.sk,020453006,https://www.autodielybb.sk/kontakty/,,https://www.autodielybb.sk/reklamacny-poriadok/,4,yes,woocommerce,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.","emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru, viackrokový proces",returns_friction,7,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-8
AUTOSÚČIASTKYTOMÁŠ,Autosúčiastky Tomáš,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/,autodiely,Prešov,stefan.tluscak@gmail.com,05165880458,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/#kontakty,https://pomoc.azet.sk/,https://reklama.ringier.sk,4,no,,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",PDF/formulárový friction,returns_friction,6,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-9
AZPNEUSK,AZ-pneu.sk,http://www.az-pneu.sk/,pneu,Bratislava,objednavky@az-pneu.sk,+421268206080,https://www.az-pneu.sk/kontakt,https://www.az-pneu.sk/caste-otazky,,4,no,woocommerce,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,support_chaos,7,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-10
PNEUSYSTEMTTSRO,PNEUSYSTEM TT s.r.o.,http://www.pneutt.sk/,pneu,Trnava,posta@pneutt.sk,0335511692,https://www.pneutt.sk/#!/kontakt,,,3,no,woocommerce,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,compatibility_load,6,shared-ecom-onepager,sk-autodiely-pneu-top10-outreach.csv:row-11
